"ID","Case.Number","Date","Block","IUCR","Primary.Type","Description","Location.Description","Arrest","Domestic","Beat","District","Ward","Community.Area","FBI.Code","X.Coordinate","Y.Coordinate","Year","Updated.On","Latitude","Longitude","Location"
13707788,"JH561722","12/31/2024 09:15:00 PM","057XX N NORTH SHORE CHANNEL","0520","ASSAULT","AGGRAVATED - KNIFE / CUTTING INSTRUMENT","PARK PROPERTY","true","false",1711,17,39,13,"04A",1154375,1937881,2024,"05/17/2025 03:40:52 PM",41.985372163,-87.70758751,"(41.985372163, -87.70758751)"
13707769,"JH561728","12/31/2024 09:08:00 PM","018XX S STATE ST","0486","BATTERY","DOMESTIC BATTERY SIMPLE","APARTMENT","true","true",131,1,3,33,"08B",1176618,1891424,2024,"05/17/2025 03:40:52 PM",41.857417366,-87.627187001,"(41.857417366, -87.627187001)"
13707751,"JH561721","12/31/2024 09:06:00 PM","060XX N CLAREMONT AVE","051A","ASSAULT","AGGRAVATED - HANDGUN","STREET","false","false",2413,24,40,2,"04A",1159557,1940135,2024,"11/02/2025 03:41:09 PM",41.991451757,-87.688466048,"(41.991451757, -87.688466048)"
13709190,"JJ101440","12/31/2024 09:00:00 PM","047XX S ASHLAND AVE","0610","BURGLARY","FORCIBLE ENTRY","SMALL RETAIL STORE","false","false",933,9,20,61,"05",1166470,1873287,2024,"11/02/2025 03:41:09 PM",41.807870583,-87.664953849,"(41.807870583, -87.664953849)"
13709654,"JJ101836","12/31/2024 09:00:00 PM","101XX S WESTERN AVE","0910","MOTOR VEHICLE THEFT","AUTOMOBILE","STREET","false","false",2211,22,19,72,"07",1162171,1837431,2024,"11/02/2025 03:41:09 PM",41.70956715,-87.681717643,"(41.70956715, -87.681717643)"
13708617,"JJ100868","12/31/2024 09:00:00 PM","014XX N NOBLE ST","0910","MOTOR VEHICLE THEFT","AUTOMOBILE","STREET","false","false",1433,14,1,24,"07",1166793,1909504,2024,"11/02/2025 03:41:09 PM",41.90724634,-87.662731685,"(41.90724634, -87.662731685)"
13717044,"JJ110147","12/31/2024 09:00:00 PM","004XX N Wabash ave","0870","THEFT","POCKET-PICKING","SIDEWALK","false","false",1834,18,42,8,"06",1176592,1902931,2024,"05/17/2025 03:40:52 PM",41.888993854,-87.626934833,"(41.888993854, -87.626934833)"
13708249,"JJ100553","12/31/2024 09:00:00 PM","014XX N DAYTON ST","0810","THEFT","OVER $500","STREET","false","false",1822,18,27,8,"06",1170413,1909722,2024,"05/17/2025 03:40:52 PM",41.907766116,-87.649427542,"(41.907766116, -87.649427542)"
13707907,"JH561773","12/31/2024 09:00:00 PM","002XX N CENTRAL AVE","031A","ROBBERY","ARMED - HANDGUN","ALLEY","false","false",1512,15,29,25,"03",1139003,1901091,2024,"05/17/2025 03:40:52 PM",41.884710837,-87.765022234,"(41.884710837, -87.765022234)"
13709623,"JJ102057","12/31/2024 09:00:00 PM","036XX W 57TH ST","0610","BURGLARY","FORCIBLE ENTRY","RESIDENCE","false","false",822,8,23,62,"05",1153044,1866568,2024,"05/17/2025 03:40:52 PM",41.789708646,-87.714374728,"(41.789708646, -87.714374728)"
13708147,"JJ100377","12/31/2024 09:00:00 PM","005XX N KEDZIE AVE","0910","MOTOR VEHICLE THEFT","AUTOMOBILE","STREET","false","false",1221,12,27,23,"07",1154949,1903386,2024,"11/02/2025 03:41:09 PM",41.890703831,-87.70640419,"(41.890703831, -87.70640419)"
13712118,"JJ104734","12/31/2024 09:00:00 PM","032XX S CANAL ST","0560","ASSAULT","SIMPLE","RESIDENCE","false","false",915,9,11,60,"08A",1173822,1883417,2024,"11/02/2025 03:41:09 PM",41.835508166,-87.637687919,"(41.835508166, -87.637687919)"
13707766,"JH561724","12/31/2024 09:00:00 PM","063XX S ASHLAND AVE","031A","ROBBERY","ARMED - HANDGUN","ALLEY","false","false",725,7,16,67,"03",1166755,1862773,2024,"11/02/2025 03:41:09 PM",41.779012821,-87.664208692,"(41.779012821, -87.664208692)"
13709507,"JJ101983","12/31/2024 09:00:00 PM","003XX N SANGAMON ST","0890","THEFT","FROM BUILDING","RESTAURANT","false","false",1214,12,27,28,"06",1170040,1902182,2024,"11/02/2025 03:41:09 PM",41.887084037,-87.651018015,"(41.887084037, -87.651018015)"
13708748,"JJ100798","12/31/2024 09:00:00 PM","037XX W NORTH AVE","0430","BATTERY","AGGRAVATED - OTHER DANGEROUS WEAPON","PARKING LOT / GARAGE (NON RESIDENTIAL)","false","false",2535,25,26,23,"04B",1151340,1910377,2024,"11/02/2025 03:41:09 PM",41.909959416,-87.719474573,"(41.909959416, -87.719474573)"
13710369,"JJ102891","12/31/2024 09:00:00 PM","031XX W FULTON BLVD","0910","MOTOR VEHICLE THEFT","AUTOMOBILE","STREET","false","false",1222,12,27,27,"07",1155333,1901835,2024,"11/02/2025 03:41:09 PM",41.88644003,-87.705035655,"(41.88644003, -87.705035655)"
13707701,"JH561712","12/31/2024 08:50:00 PM","043XX W 21ST ST","051A","ASSAULT","AGGRAVATED - HANDGUN","RESIDENCE","false","true",1012,10,24,29,"04A",1147862,1889736,2024,"05/17/2025 03:40:52 PM",41.853385754,-87.732782056,"(41.853385754, -87.732782056)"
13707770,"JH561730","12/31/2024 08:45:00 PM","059XX S TALMAN AVE","0560","ASSAULT","SIMPLE","APARTMENT","false","false",824,8,16,66,"08A",1159722,1865256,2024,"05/17/2025 03:40:52 PM",41.785973799,-87.689924319,"(41.785973799, -87.689924319)"
13708089,"JH561707","12/31/2024 08:23:00 PM","042XX W 21ST PL","0560","ASSAULT","SIMPLE","APARTMENT","false","false",1012,10,24,29,"08A",1148516,1889421,2024,"11/02/2025 03:41:09 PM",41.852508778,-87.730389741,"(41.852508778, -87.730389741)"
